unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling
1604102400,2020-10-31 00:00:00,13560.1,14100.0,13411.5,13791.0,927048458.5423616,BTCUSD,673.410558,574.580309,98.830249,77.34,357853.23,182804.838,7756.445999999996,-115594.97,15446.319
1604188800,2020-11-01 00:00:00,13791.0,13895.0,13603.0,13761.5,499124369.0753264,BTCUSD,678.658904,595.396028,83.262876,76.47,198395.231,97711.344,-2972.543000000005,-118567.513,19762.111
1604275200,2020-11-02 00:00:00,13761.49,13830.0,13195.05,13549.37,873629993.8313928,BTCUSD,658.1148,607.939782,50.175018,70.39,327991.768,161896.733,-4198.301999999967,-122765.815,23597.958
1604361600,2020-11-03 00:00:00,13549.63,14066.11,13284.99,14023.53,1009402087.7104616,BTCUSD,672.343838,620.820593,51.523244,75.15,348730.51,177409.088,6087.665999999968,-116678.149,36031.484
1604448000,2020-11-04 00:00:00,14023.53,14259.0,13525.0,14144.01,1293872665.4179618,BTCUSD,685.440846,633.744644,51.696202,76.19,451433.42,229094.676,6755.93200000003,-109922.217,28554.101
1604534400,2020-11-05 00:00:00,14144.01,15750.0,14093.56,15590.02,2131865609.2908912,BTCUSD,803.241969,667.644109,135.59786,84.59,717489.697,355528.624,-6432.449000000022,-116354.666,36990.313
1604620800,2020-11-06 00:00:00,15590.02,15960.0,15166.0,15579.92,1909660728.8229203,BTCUSD,885.576843,711.230656,174.346187,84.36,559380.06,260161.397,-39057.26600000006,-155411.932,-2176.731
1604707200,2020-11-07 00:00:00,15579.93,15753.52,14344.22,14818.3,1536510177.0914736,BTCUSD,879.236168,744.831758,134.40441,69.45,457582.681,217481.959,-22618.762999999977,-178030.695,-34110.765
1604793600,2020-11-08 00:00:00,14818.3,15650.0,14703.88,15475.1,998031373.8397804,BTCUSD,916.642919,779.19399,137.448928,73.76,290616.393,140057.853,-10500.686999999976,-188531.382,-57053.98
1604880000,2020-11-09 00:00:00,15475.1,15840.0,14805.54,15328.41,1670447935.5141788,BTCUSD,923.802363,808.115665,115.686698,71.34,474181.983,225448.915,-23284.15299999999,-211815.535,-88423.717
1604966400,2020-11-10 00:00:00,15328.41,15460.0,15072.46,15297.21,943615126.0891504,BTCUSD,916.395063,829.771544,86.623518,70.8,244073.495,117575.616,-8922.263000000006,-220737.798,-116978.307
1605052800,2020-11-11 00:00:00,15297.21,15965.0,15272.68,15684.24,1226425496.3618553,BTCUSD,931.022562,850.021748,81.000814,73.45,330772.852,159256.703,-12259.445999999996,-232997.244,-111097.663
1605139200,2020-11-12 00:00:00,15684.25,16340.7,15440.64,16291.86,1628755508.6741984,BTCUSD,980.344021,876.086202,104.257818,76.98,471759.126,234735.974,-2287.1780000000144,-235284.422,-100445.121
1605225600,2020-11-13 00:00:00,16291.85,16480.0,15952.35,16320.7,1230358611.1248891,BTCUSD,1010.114804,902.891923,107.222882,77.13,306656.359,144127.705,-18400.949000000022,-253685.371,-116998.241
1605312000,2020-11-14 00:00:00,16320.04,16326.99,15670.0,16070.45,944765868.609419,BTCUSD,1001.96525,922.706588,79.258662,72.56,266206.937,135009.442,3811.947000000044,-249873.424,-108024.258
1605398400,2020-11-15 00:00:00,16069.56,16180.0,15774.72,15957.0,696651729.7452534,BTCUSD,975.111721,933.187615,41.924106,70.52,210318.453,109037.561,7756.668999999994,-242116.755,-98543.821
1605484800,2020-11-16 00:00:00,15957.0,16880.0,15864.0,16713.57,1335728013.9057603,BTCUSD,1003.31341,947.212774,56.100636,75.47,342459.329,180565.446,18671.56299999997,-223445.192,-95376.646
1605571200,2020-11-17 00:00:00,16713.08,17858.82,16538.0,17659.38,1982752071.450512,BTCUSD,1089.42421,975.655061,113.769149,80.0,524094.697,261569.252,-956.1929999999702,-224401.385,-85628.02
1605657600,2020-11-18 00:00:00,17659.38,18476.93,17214.45,17776.12,2663337935.5002985,BTCUSD,1153.787438,1011.281536,142.505902,80.48,732937.097,352520.464,-27896.168999999994,-252297.554,-122557.357
1605744000,2020-11-19 00:00:00,17777.75,18179.8,17335.65,17802.82,1656794228.8537636,BTCUSD,1193.195809,1047.664391,145.531418,80.59,406500.977,198063.499,-10373.978999999992,-262671.533,-139320.117
1605830400,2020-11-20 00:00:00,17802.81,18815.22,17740.04,18655.67,1623135138.5910714,BTCUSD,1278.507258,1093.832964,184.674293,83.85,407926.802,196545.447,-14835.908000000054,-277507.441,-161912.471
1605916800,2020-11-21 00:00:00,18655.66,18965.9,18308.58,18703.8,1413641591.284171,BTCUSD,1334.616259,1141.989623,192.626636,84.01,342412.49,160371.675,-21669.14000000001,-299176.581,-180609.068
1606003200,2020-11-22 00:00:00,18703.8,18750.0,17610.86,18414.43,1497662550.0540428,BTCUSD,1340.283354,1181.648369,158.634985,78.86,373779.417,174390.001,-24999.41500000004,-324175.996,-201410.181
1606089600,2020-11-23 00:00:00,18413.88,18766.0,18000.0,18368.0,1529064319.6694436,BTCUSD,1325.745684,1210.467832,115.277851,78.03,364221.378,175670.66,-12880.05800000002,-337056.054,-220377.905
1606176000,2020-11-24 00:00:00,18368.01,19418.97,18018.0,19160.01,2145301450.4579408,BTCUSD,1362.427843,1240.859834,121.568009,81.58,477968.289,227534.885,-22898.51899999997,-359954.573,-250032.356
1606262400,2020-11-25 00:00:00,19160.0,19484.21,18500.27,18719.11,1774870796.2882328,BTCUSD,1340.469673,1260.781802,79.687871,74.38,426276.99,200114.327,-26048.33600000001,-386002.909,-269648.243
1606348800,2020-11-26 00:00:00,18718.83,18915.03,16188.0,17149.47,3127314143.1045747,BTCUSD,1182.776524,1245.180747,-62.404222,55.56,850692.856,401324.909,-48043.03800000006,-434045.947,-278634.015
1606435200,2020-11-27 00:00:00,17149.47,17457.62,16438.08,17139.52,1446670351.435088,BTCUSD,1044.955094,1205.135616,-160.180522,55.47,398072.933,191478.013,-15116.907000000008,-449162.854,-271132.159
1606521600,2020-11-28 00:00:00,17139.53,17880.49,16865.56,17719.85,1128061605.107225,BTCUSD,971.361151,1158.380723,-187.019572,59.82,268833.749,129558.247,-9717.255000000005,-458880.109,-270348.727
1606608000,2020-11-29 00:00:00,17719.84,18360.05,17517.0,18184.99,996743798.8649216,BTCUSD,939.737622,1114.652103,-174.914481,62.94,256024.006,130770.777,5517.54800000001,-453362.561,-241547.026
1606694400,2020-11-30 00:00:00,18185.0,19863.16,18184.99,19695.87,2205929119.505336,BTCUSD,1024.778132,1096.677309,-71.899177,70.87,500482.574,257982.052,15481.52999999997,-437881.031,-217143.233
1606780800,2020-12-01 00:00:00,19695.87,19888.0,18001.12,18764.96,2446070334.8287983,BTCUSD,1005.466302,1078.435107,-72.968805,62.06,553885.333,268754.539,-16376.255000000005,-454257.286,-221260.042
1606867200,2020-12-02 00:00:00,18764.96,19342.0,18330.0,19204.09,1436895344.8259497,BTCUSD,1013.907959,1065.529678,-51.621719,64.31,335717.482,164736.833,-6243.815999999992,-460501.102,-225216.68
1606953600,2020-12-03 00:00:00,19204.08,19598.0,18867.2,19421.9,1286548310.8267057,BTCUSD,1026.342443,1057.692231,-31.349788,65.41,245020.576,121969.824,-1080.9280000000144,-461582.03,-207896.659
1607040000,2020-12-04 00:00:00,19422.34,19527.0,18565.31,18650.52,1358079975.025498,BTCUSD,962.853762,1038.724537,-75.870775,58.55,276271.939,130243.878,-15784.18300000002,-477366.213,-227492.789
1607126400,2020-12-05 00:00:00,18650.51,19177.0,18500.0,19147.66,813445434.1308142,BTCUSD,941.797118,1019.339053,-77.541935,61.36,165912.647,82521.25,-870.1469999999972,-478236.36,-236119.605
1607212800,2020-12-06 00:00:00,19147.66,19420.0,18857.0,19359.4,709558933.5829058,BTCUSD,931.457957,1001.762834,-70.304877,62.53,176004.606,87915.75,-173.10599999999977,-478409.466,-254964.274
1607299200,2020-12-07 00:00:00,19358.67,19420.91,18902.88,19166.9,793517668.6839459,BTCUSD,897.386444,980.887556,-83.501112,60.73,169402.371,82063.358,-5275.655000000028,-483685.121,-259283.736
